class,frozen_captured,candidate_captured,capture_change,frozen_best_coverage,candidate_best_coverage,coverage_delta,frozen_main,candidate_main,frozen_best_cluster,candidate_best_cluster
BrokenRing,True,True,0,0.72,0.78,0.06000000000000005,BrokenRing,BrokenRing,0,0
CenterCircle,True,True,0,0.75,0.84,0.08999999999999997,CenterCircle,CenterCircle,9,8
CenterDonut,True,True,0,0.48,1.0,0.52,CenterDonut,CenterDonut,11,10
Center_fork,False,True,1,0.83,1.0,0.17000000000000004,Donut_fork,Center_fork,3,3
Center_invalid_main,True,True,0,1.0,1.0,0.0,Center_invalid_main,Center_invalid_main,4,4
Center_scratch_rot,True,True,0,0.97,0.64,-0.32999999999999996,Center_scratch_rot,Center_scratch_rot,8,7
CrescentArc,True,True,0,0.67,1.0,0.32999999999999996,CrescentArc,CrescentArc,15,11
CrossScratch,True,True,0,0.46,1.0,0.54,CrossScratch,CrossScratch,17,12
DiagonalSmear,True,True,0,0.68,0.7,0.019999999999999907,DiagonalSmear,DiagonalSmear,19,14
Donut_invalid_main,True,True,0,0.98,1.0,0.020000000000000018,Donut_invalid_main,Donut_invalid_main,23,17
Donut_scratch,True,True,0,0.96,1.0,0.040000000000000036,Donut_scratch,Donut_scratch,7,18
Donut_scratch_rot,True,True,0,0.99,1.0,0.010000000000000009,Donut_scratch_rot,Donut_scratch_rot,24,19
Edge-Bottom_bank_boundary,True,True,0,0.43,0.38,-0.04999999999999999,Edge-Bottom_bank_boundary,Edge-Bottom_bank_boundary,26,20
Edge-Bottom_fork,True,True,0,0.48,0.34,-0.13999999999999996,Edge-Bottom_fork,Edge-Bottom_fork,25,21
Edge-Bottom_invalid_main,True,True,0,0.7,0.7,0.0,Edge-Bottom_invalid_main,Edge-Top_invalid_main,34,25
Edge-Bottom_scratch,True,False,-1,0.38,0.26,-0.12,Edge-Bottom_scratch,Edge-Bottom_bank_boundary,31,20
Edge-Bottom_scratch_rot,False,True,1,0.27,0.29,0.019999999999999962,Edge-Bottom_scratch,Edge-Bottom_scratch_rot,31,24
Edge-Ring_fork,True,True,0,1.0,0.79,-0.20999999999999996,Edge-Ring_fork,Edge-Ring_fork,37,29
Edge-Ring_invalid_main,True,True,0,1.0,1.0,0.0,Edge-Ring_invalid_main,Edge-Ring_invalid_main,38,30
Edge-Ring_scratch_rot,True,True,0,0.98,0.58,-0.4,Edge-Ring_scratch_rot,Edge-Ring_scratch_rot,40,32
Edge-Top_bank_boundary,True,False,-1,0.4,0.36,-0.040000000000000036,Edge-Top_bank_boundary,Edge-Top_fork,41,23
Edge-Top_invalid_main,True,True,0,0.38,0.94,0.5599999999999999,Edge-Bottom_invalid_main,Edge-Top_invalid_main,34,25
Edge-Top_scratch,True,True,0,0.53,0.36,-0.17000000000000004,Edge-Top_scratch,Edge-Top_scratch,27,36
Edge-Top_scratch_rot,True,True,0,0.42,0.37,-0.04999999999999999,Edge-Top_scratch_rot,Edge-Top_scratch_rot,32,34
Full_bank_boundary,True,True,0,1.0,1.0,0.0,Full_bank_boundary,Full_bank_boundary,42,37
Full_fork,True,True,0,1.0,1.0,0.0,Full_fork,Full_fork,43,38
Full_invalid_main,True,True,0,1.0,1.0,0.0,Full_invalid_main,Full_invalid_main,44,39
Full_scratch_rot,True,True,0,0.62,1.0,0.38,Full_scratch_rot,Full_scratch_rot,46,41
Row,True,True,0,1.0,0.76,-0.24,Row,Row,53,45
Starburst,True,True,0,0.82,1.0,0.18000000000000005,Starburst,Starburst,54,47
Thick-Edge_fork,True,True,0,1.0,0.98,-0.020000000000000018,Thick-Edge_fork,Thick-Edge_fork,56,48
Thick-Edge_invalid_main,True,True,0,1.0,0.52,-0.48,Thick-Edge_invalid_main,Thick-Edge_invalid_main,57,49
